"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9417","157",NULL,NULL,"17226","165","490","78","0.3"
"9418","143",NULL,NULL,"17226","168","397","72","0.3"
"9419","75",NULL,NULL,"15771",NULL,"1022","75","0.6"
"9420","100","yes",NULL,"15597","295","765","67","0.4"
"9421","100","yes",NULL,"15597","295","729","67","0.4"
"9422","68",NULL,NULL,"1102","90","302","80","0.7"
"9423","118",NULL,NULL,"1102","86","136","78","0.4"
"9424","90",NULL,NULL,"11388",NULL,"1016","75","0.5"
"9425","150",NULL,NULL,"11319",NULL,"1009","75","0.3"
"9426","60","yes",NULL,"15942","295","741","60","0.6"
"9427","60","yes",NULL,"15942","295","756","60","0.6"
"9428","150","yes",NULL,"15942","295","766","75","0.3"
"9429","90",NULL,NULL,"11384",NULL,"1016","75","0.5"
"9430","90",NULL,NULL,"11387",NULL,"1016","75","0.5"
"9431","180","yes",NULL,"1748","295","781","90","0.3"
"9432","105","yes",NULL,"1748","295","782","70","0.4"
"9433","120","yes",NULL,"1748","295","791","60","0.3"
"9434","137",NULL,NULL,"1109","86","110","80","0.35"
"9435","150","yes",NULL,"12756","295","784","75","0.5"
"9436","150","yes",NULL,"12756","295","794","75","0.5"
"9437","60","yes",NULL,"12756","295","800","50","0.5"
"9438","76",NULL,NULL,"17227","165","469","76","0.6"
"9439","78",NULL,NULL,"17227","165","419","78","0.6"
"9440","LABEL JOIN","yes",NULL,"11680",NULL,NULL,"240","0.25"
"9441","VELCRO JOIN","yes",NULL,"11680",NULL,NULL,"272","0.22"
"9442","HIGH T/S","yes",NULL,"11478",NULL,NULL,"150","0.4"
"9443","BK PKT","yes",NULL,"11478",NULL,NULL,"120","0.5"
"9444","S FLY JOIN","yes",NULL,"11478",NULL,NULL,"133","45"
"9445","100","yes",NULL,"15953","295","785","70","0.4"
"9446","140","yes",NULL,"15953","295","786","70","-0.7"
"9447","BACK RISE O/L","yes",NULL,"11794",NULL,NULL,"150","0.4"
"9448","FLAP 1/4","yes",NULL,"11794",NULL,NULL,"150","0.4"
"9449","SIDE STC","yes",NULL,"11794",NULL,NULL,"150","0.4"
"9450","60","yes",NULL,"13384","295","767","50","0.5"
"9451","60","yes",NULL,"13384","295","769","50","0.5"
"9452","97","yes",NULL,"13384","295","804","65","0.4"
"9453","80","yes",NULL,"14615","295","780","80","0.6"
"9454","160","yes",NULL,"14615","295","781","80","0.3"
